frame,type,x,y
120,Alien1,300,0
240,PowerUp-SpeedUp,350,0
360,Alien1,200,0
480,Alien1,450,0
600,PowerUp-SpeedUp,250,0
720,Alien1,350,0
840,Alien1,150,0
960,PowerUp-MultiShot,400,0
1080,Alien1,300,0
1200,Alien1,500,0
1320,PowerUp-SpeedUp,200,0
1440,Alien1,250,0
1560,Alien1,400,0
1680,PowerUp-MultiShot,350,0
1800,Alien1,150,0
1920,Alien1,450,0
2040,PowerUp-SpeedUp,300,0
2160,Alien1,200,0
2280,Alien1,500,0
2400,PowerUp-MultiShot,250,0
2520,Alien1,350,0
2640,Alien1,400,0
2760,PowerUp-SpeedUp,450,0
2880,Alien1,150,0
3000,Alien1,300,0
3120,PowerUp-MultiShot,200,0
3240,Alien1,500,0
3360,Alien1,250,0
3480,PowerUp-SpeedUp,350,0
3600,Alien1,400,0
3720,Alien1,150,0
3840,PowerUp-MultiShot,300,0
3960,Alien1,450,0
4080,Alien1,200,0
4200,PowerUp-SpeedUp,500,0
4320,Alien1,350,0
4440,Alien1,250,0
4560,PowerUp-MultiShot,400,0
4680,Alien1,300,0
4800,Alien1,150,0
4920,PowerUp-SpeedUp,450,0
5040,Alien1,200,0
5160,Alien1,500,0
5280,PowerUp-MultiShot,300,0
5400,Alien1,350,0
5520,Alien1,250,0
5640,PowerUp-SpeedUp,400,0
5760,Alien1,450,0
5880,Alien1,200,0
6000,PowerUp-MultiShot,350,0
6120,Alien1,300,0
6240,Alien1,450,0
6360,PowerUp-SpeedUp,200,0
6480,Alien1,350,0
6600,Alien1,150,0
6720,PowerUp-MultiShot,500,0
6840,Alien1,250,0
6960,Alien1,400,0
7080,PowerUp-SpeedUp,300,0
7200,Alien1,200,0
7320,Alien1,450,0
7440,PowerUp-MultiShot,350,0
7560,Alien1,300,0
7680,Alien1,150,0
7800,PowerUp-SpeedUp,400,0
7920,Alien1,500,0
8040,Alien1,250,0
8160,PowerUp-MultiShot,350,0
8280,Alien1,400,0
8400,Alien1,200,0
8520,PowerUp-SpeedUp,450,0
8640,Alien1,300,0
8760,Alien1,150,0
8880,PowerUp-MultiShot,250,0
9000,Alien1,500,0
9120,Alien1,350,0
9240,PowerUp-SpeedUp,400,0
9360,Alien1,200,0
9480,Alien1,450,0
9600,PowerUp-MultiShot,300,0
9720,Alien1,250,0
9840,Alien1,400,0
9960,PowerUp-SpeedUp,350,0
10080,Alien1,150,0
10200,Alien1,500,0
10320,PowerUp-MultiShot,200,0
10440,Alien1,350,0
10560,Alien1,250,0
10680,PowerUp-SpeedUp,450,0
10800,Alien1,400,0
