frame,type,x,y
20,Alien2,300,0
40,Alien2,200,0
60,Alien2,450,0
80,PowerUp-SpeedUp,350,0
100,Alien2,150,0
120,Alien2,500,0
140,Alien2,250,0
160,Alien1,400,0
180,PowerUp-MultiShot,300,0
200,Alien2,200,0
220,Alien2,350,0
240,Alien2,450,0
260,Alien1,150,0
280,PowerUp-SpeedUp,400,0
300,Alien2,300,0
320,Alien2,250,0
340,Alien2,500,0
360,Alien1,200,0
380,PowerUp-MultiShot,350,0
400,Alien2,400,0
420,Alien2,150,0
440,Alien2,300,0
460,Alien1,450,0
480,PowerUp-SpeedUp,250,0
500,Alien2,350,0
520,Alien2,200,0
540,Alien2,500,0
560,Alien1,300,0
580,PowerUp-MultiShot,400,0
600,Alien2,150,0
620,Alien2,450,0
640,Alien2,250,0
660,Alien1,350,0
680,PowerUp-SpeedUp,300,0
700,Alien2,400,0
720,Alien2,200,0
740,Alien2,500,0
760,Alien1,150,0
780,PowerUp-MultiShot,350,0
800,Alien2,300,0
820,Alien2,450,0
840,Alien2,200,0
860,Alien1,400,0
880,PowerUp-SpeedUp,250,0
900,Alien2,350,0
920,Alien2,300,0
940,Alien2,150,0
960,Alien1,500,0
980,PowerUp-MultiShot,400,0
1000,Alien2,250,0
1020,Alien2,450,0
1040,Alien2,200,0
1060,Alien1,350,0
1080,PowerUp-SpeedUp,300,0
1100,Alien2,400,0
1120,Alien2,150,0
1140,Alien2,500,0
1160,Alien1,250,0
1180,PowerUp-MultiShot,350,0
1200,Alien2,300,0
1220,Alien2,450,0
1240,Alien2,200,0
1260,Alien1,400,0
1280,PowerUp-SpeedUp,150,0
1300,Alien2,350,0
1320,Alien2,500,0
1340,Alien2,250,0
1360,Alien1,450,0
1380,PowerUp-MultiShot,300,0
1400,Alien2,200,0
1420,Alien2,400,0
1440,Alien2,150,0
1460,Alien1,350,0
1480,PowerUp-SpeedUp,500,0
1500,Alien2,300,0
1520,Alien2,250,0
1540,Alien2,450,0
1560,Alien1,200,0
1580,PowerUp-MultiShot,400,0
1600,Alien2,350,0
1620,Alien2,150,0
1640,Alien2,500,0
1660,Alien1,300,0
1680,PowerUp-SpeedUp,250,0
1700,Alien2,450,0
1720,Alien2,200,0
1740,Alien2,400,0
1760,Alien1,350,0
1780,PowerUp-MultiShot,300,0
1800,Alien2,150,0
1820,Alien2,500,0
1840,Alien2,250,0
1860,Alien1,450,0
1880,PowerUp-SpeedUp,200,0
1900,Alien2,400,0
1920,Alien2,300,0
1940,Alien2,350,0
1960,Alien1,150,0
1980,PowerUp-MultiShot,450,0
2000,Alien2,500,0
2020,Alien2,250,0
2040,Alien2,300,0
2060,Alien1,400,0
2080,PowerUp-SpeedUp,350,0
2100,Alien2,200,0
2120,Alien2,450,0
2140,Alien2,150,0
2160,Alien1,500,0
2180,PowerUp-MultiShot,300,0
2200,Alien2,250,0
2220,Alien2,400,0
2240,Alien2,350,0
2260,Alien1,200,0
2280,PowerUp-SpeedUp,450,0
2300,Alien2,300,0
2320,Alien2,150,0
2340,Alien2,500,0
2360,Alien1,250,0
2380,PowerUp-MultiShot,400,0
2400,Alien2,450,0
2420,Alien2,200,0
2440,Alien2,350,0
2460,Alien1,300,0
2480,PowerUp-SpeedUp,150,0
2500,Alien2,500,0
2520,Alien2,250,0
2540,Alien2,400,0
2560,Alien1,450,0
2580,PowerUp-MultiShot,300,0
2600,Alien2,200,0
2620,Alien2,350,0
2640,Alien2,150,0
2660,Alien1,500,0
2680,PowerUp-SpeedUp,400,0
2700,Alien2,300,0
2720,Alien2,250,0
2740,Alien2,450,0
2760,Alien1,200,0
2780,PowerUp-MultiShot,350,0
2800,Alien2,400,0
2820,Alien2,150,0
2840,Alien2,500,0
2860,Alien1,300,0
2880,PowerUp-SpeedUp,250,0
2900,Alien2,450,0
2920,Alien2,200,0
2940,Alien2,350,0
2960,Alien1,400,0
2980,PowerUp-MultiShot,300,0
3000,Alien2,150,0
3020,Alien2,500,0
3040,Alien2,250,0
3060,Alien1,450,0
3080,PowerUp-SpeedUp,200,0
3100,Alien2,400,0
3120,Alien2,300,0
3140,Alien2,350,0
3160,Alien1,150,0
3180,PowerUp-MultiShot,500,0
3200,Alien2,250,0
3220,Alien2,450,0
3240,Alien2,200,0
3260,Alien1,400,0
3280,PowerUp-SpeedUp,350,0
3300,Alien2,300,0
3320,Alien2,150,0
3340,Alien2,500,0
3360,Alien1,250,0
3380,PowerUp-MultiShot,450,0
3400,Alien2,400,0
3420,Alien2,200,0
3440,Alien2,350,0
3460,Alien1,300,0
3480,PowerUp-SpeedUp,150,0
3500,Alien2,500,0
3520,Alien2,250,0
3540,Alien2,450,0
3560,Alien1,400,0
3580,PowerUp-MultiShot,300,0
3600,Alien2,200,0
3620,Alien2,350,0
3640,Alien2,150,0
3660,Alien1,500,0
3680,PowerUp-SpeedUp,400,0
3700,Alien2,300,0
3720,Alien2,250,0
3740,Alien2,450,0
3760,Alien1,200,0
3780,PowerUp-MultiShot,350,0
3800,Alien2,400,0
3820,Alien2,150,0
3840,Alien2,500,0
3860,Alien1,300,0
3880,PowerUp-SpeedUp,250,0
3900,Alien2,450,0
3920,Alien2,200,0
3940,Alien2,350,0
3960,Alien1,400,0
3980,PowerUp-MultiShot,300,0
4000,Alien2,150,0
4020,Alien2,500,0
4040,Alien2,250,0
4060,Alien1,450,0
4080,PowerUp-SpeedUp,200,0
4100,Alien2,400,0
4120,Alien2,300,0
4140,Alien2,350,0
4160,Alien1,150,0
4180,PowerUp-MultiShot,500,0
4200,Alien2,250,0
4220,Alien2,450,0
4240,Alien2,200,0
4260,Alien1,400,0
4280,PowerUp-SpeedUp,350,0
4300,Alien2,300,0
4320,Alien2,150,0
4340,Alien2,500,0
4360,Alien1,250,0
4380,PowerUp-MultiShot,450,0
4400,Alien2,400,0
4420,Alien2,200,0
4440,Alien2,350,0
4460,Alien1,300,0
4480,PowerUp-SpeedUp,150,0
4500,Alien2,500,0
4520,Alien2,250,0
4540,Alien2,450,0
4560,Alien1,400,0
4580,PowerUp-MultiShot,300,0
4600,Alien2,200,0
4620,Alien2,350,0
4640,Alien2,150,0
4660,Alien1,500,0
4680,PowerUp-SpeedUp,400,0
4700,Alien2,300,0
4720,Alien2,250,0
4740,Alien2,450,0
4760,Alien1,200,0
4780,PowerUp-MultiShot,350,0
4800,Alien2,400,0
4820,Alien2,150,0
4840,Alien2,500,0
4860,Alien1,300,0
4880,PowerUp-SpeedUp,250,0
4900,Alien2,450,0
4920,Alien2,200,0
4940,Alien2,350,0
4960,Alien1,400,0
4980,PowerUp-MultiShot,300,0
5000,Alien2,150,0
5020,Alien2,500,0
5040,Alien2,250,0
5060,Alien1,450,0
5080,PowerUp-SpeedUp,200,0
5100,Alien2,400,0
5120,Alien2,300,0
5140,Alien2,350,0
5160,Alien1,150,0
5180,PowerUp-MultiShot,500,0
5200,Alien2,250,0
5220,Alien2,450,0
5240,Alien2,200,0
5260,Alien1,400,0
5280,PowerUp-SpeedUp,350,0
5300,Alien2,300,0
5320,Alien2,150,0
5340,Alien2,500,0
5360,Alien1,250,0
5380,PowerUp-MultiShot,450,0
5400,Alien2,400,0
5420,Alien2,200,0
5440,Alien2,350,0
5460,Alien1,300,0
5480,PowerUp-SpeedUp,150,0
5500,Alien2,500,0
5520,Alien2,250,0
5540,Alien2,450,0
5560,Alien1,400,0
5580,PowerUp-MultiShot,300,0
5600,Alien2,200,0
5620,Alien2,350,0
5640,Alien2,150,0
5660,Alien1,500,0
5680,PowerUp-SpeedUp,400,0
5700,Alien2,300,0
5720,Alien2,250,0
5740,Alien2,450,0
5760,Alien1,200,0
5780,PowerUp-MultiShot,350,0
5800,Alien2,400,0
5820,Alien2,150,0
5840,Alien2,500,0
5860,Alien1,300,0
5880,PowerUp-SpeedUp,250,0
5900,Alien2,450,0
5920,Alien2,200,0
5940,Alien2,350,0
5960,Alien1,400,0
5980,PowerUp-MultiShot,300,0
6000,Alien2,150,0
